Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Єщенко;Едуард;Назарович;Чоловіча;2007-06-27;Провізор;хутір Ясинувата;провулок Армійська, буд. 2 кв. 53, Чоп, 58511;+380 21 241 86 59;yshukhevych@example.com
Вишивана;Аніта;Юстинаівна;Жіноча;1967-07-05;Програміст;місто Волноваха;вулиця Івасюка Володимира, буд. 48 кв. 360, Любомль, 31458;369-87-91;eakymenko@example.net
Романчук;Леонтій;Тимофійович;Чоловіча;1990-05-30;Кухар;селище Родинське;сквер Астрономічний, буд. 445, Новоград-Волинський, 07502;789-67-71;ievhenbandura@example.org
Данькевич;Ярослав;Станіславович;Чоловіча;1941-01-02;Математик;хутір Коростишів;проспект Ванцетті, буд. 71 кв. 8, Новий Калинів, 95262;+380 75 882-07-49;feofan33@example.com
Тарасенко;Василь;Ігорович;Чоловіча;1964-02-01;Кушнір;хутір Українка ;узвіз Горбатий міст, буд. 958 кв. 00, Свалява, 06653;117 17 35;xshvaika@example.com
Павлик;Альберт;Богданович;Чоловіча;1995-06-16;Режисер;село Кальміуське;узвіз Фабрична, буд. 8, Горішні Плавні, 94912;037 291-59-79;vadym03@example.org
Гук;Макар;Юстимович;Чоловіча;1966-04-06;Пілот;селище Хирів;парк Немировича-Данченка, буд. 36, Гуляйполе, 38183;+380 68 345-68-38;tsisykiefrem@example.net
Бевзенко;Пармен;Хомаович;Чоловіча;1997-11-05;Парфюмер;хутір Київ;набережна 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 357 кв. 3, Тиврів, 49409;772 93 39;oberemkoliubov@example.com
Ващук;Олег;Левкоович;Чоловіча;2001-04-29;Дантист;селище Костянтинівка;парк Леха Качинського, буд. 7 кв. 18, Мар'їнка, 67840;+380 70 879 24 06;riabetsfedir@example.com
Баранник;Руслан;Азарович;Чоловіча;1994-02-22;Няня;хутір Угнів;проспект Китобійний 2-й, буд. 5 кв. 2, Золотоноша, 60813;029 650 26 84;havryletslarysa@example.org
Венгринович;Артем;Ігорович;Чоловіча;2008-06-17;Математик;селище Ананьїв;вулиця Київське, буд. 803 кв. 14, Шпола, 67672;+380 30 962 11 64;edyta74@example.com
Жадан;Григорій;Олександрович;Чоловіча;1971-06-17;Паралегал;село Полонне;площа Лиманчик 2-й Лінія 1-ша, буд. 82, Вознесенівка, 25618;000 354 87 14;davydenkovasylyna@example.org
Данько;Павло;Демидович;Чоловіча;2002-05-11;Фотограф;хутір Галич;проспект Юхима Геллера, буд. 69, Новий Розділ, 74281;071 697-98-33;volodymyrapushkar@example.com
Вітрук;Панас;Ілляович;Чоловіча;1969-05-26;Епідеміолог;хутір Алчевськ;узвіз Кримський, буд. 0 кв. 0, Докучаєвськ, 81695;+380 38 460-39-08;bohdan53@example.com
Бабʼяк;Антон;Петроович;Чоловіча;1966-09-01;Ріелтор;село Красногорівка;проспект Колонічна, буд. 667 кв. 7, Збараж, 06201;083 899-52-03;tytarenkobohuslava@example.com
Наливайко;Марʼяна;Варвараівна;Жіноча;1988-10-11;Астронавт;село Люботин;узвіз Сталепрокатна, буд. 770, Червоносів, 26690;+380 88 629-67-21;heorhiidubyna@example.com
Удовиченко;Степан;Дмитроович;Чоловіча;1957-02-22;Провізор;село Кам'янець-Подільський;провулок Бугаївська, буд. 36 кв. 87, Хорол , 99477;034-48-78;ikozachenko@example.com
Ісаєвич;Борис;Леонович;Чоловіча;1967-02-20;Актор;село Полонне;вулиця Лобачевського, буд. 307 кв. 4, Остер , 24010;+380 (59) 217-58-03;skyrdademyd@example.org
Чаленко;Устим;Лесьович;Чоловіча;2004-01-25;Штукатур;село Апостолове;проспект Новгородський, буд. 26, Козятин, 02991;+380 (57) 710-62-98;danchukihor@example.org
Власенко;Анастасія;Михайлинаівна;Жіноча;1974-06-18;Медик;хутір Кам'янець-Подільський;вулиця 40-річчя оборони Одеси, буд. 5 кв. 1, Лохвиця, 05178;068 135-74-94;leontiitsarenko@example.com
Базавлученко;Ада;Даннаівна;Жіноча;1969-02-13;Ді-джей;селище Хирів;проспект Покровський, буд. 7 кв. 5, Яремче, 57462;+380 35 766-40-84;ostap52@example.org
Величко;Руслан;Хомаович;Чоловіча;1960-05-06;Математик;село Лозова ;шосе Єліна, буд. 462, Кагарлик, 48799;099 939 05 09;opanas74@example.com
Атрощенко;Зиновій;Францович;Чоловіча;1962-12-15;Складальник;місто Кропивницький;вулиця Лазурний 6-й, буд. 38, Федорівка, 16609;497-10-14;jlutsenko@example.org
Свистун;Віра;Каміллаівна;Жіноча;1974-01-09;Письменник;селище Ровеньки;парк Бокаріуса Миколи, буд. 72, Корець, 68625;193-78-22;alla95@example.net
Дзиндра;Григорій;Михайлоович;Чоловіча;1958-08-12;Бізнесмен;селище Надвірна;шосе Лінія 41-ша, буд. 8 кв. 754, Решетилівка, 86310;+380 92 440-77-52;liudmyla51@example.org
Чекалюк;Павло;Віталійович;Чоловіча;1983-04-14;Гірничий інженер;місто Дніпро ;сквер Кристаловського, буд. 2 кв. 105, Рені, 93577;+380 (49) 066-76-67;andriiovychsemen@example.net
Василашко;Вʼячеслав;Зиновійович;Чоловіча;1967-01-28;Промисловець;селище Ізюм;площа Лазурний 3-й, буд. 628, Корсунь-Шевченківський, 55905;834 69 12;edyta02@example.com
Вобла;Марія;Святославаівна;Жіноча;1947-10-26;Кінолог;місто Шепетівка;набережна Сєрова, буд. 45 кв. 7, Середина-Буда, 80482;+380 96 397-03-19;stepan00@example.net
Гаврилець;Ростислав;Гордійович;Чоловіча;1961-09-08;Драматург;селище Світлодарськ;вулиця Весняна, буд. 4 кв. 58, Бориспіль, 17489;062 07 18;ivanchenkomartyn@example.net
Перебийніс;Пилип;Леопольдович;Чоловіча;1976-10-08;Антрополог;хутір Іловайськ;площа 5-та Суворовська, буд. 435 кв. 95, Корець, 45679;+380 52 380-08-99;rkhomyk@example.net
Абраменко;Тетяна;Ліліяівна;Жіноча;1993-02-03;Музичний редактор;хутір Лутугине;сквер Качалова, буд. 3 кв. 8, Токмак, 06606;041 463 26 03;ypanchuk@example.org
Давимука;Кирило;Панасович;Чоловіча;2007-05-24;Пекар;село Мала Виска;провулок Наявний 5-й, буд. 46, Переяслав, 32325;+380 50 176-81-98;illiaokhrimenko@example.net
Чередник;Гордій;Гаврилоович;Чоловіча;1939-07-16;Льотчик;селище Охтирка;узвіз Юрія Яновського, буд. 604, Інкерман, 86960;+380 (87) 318-06-29;estets@example.org
Тимчук;Вадим;Германович;Чоловіча;1966-02-04;Правник;село Ямпіль;вулиця Дніпропетровська дорога, буд. 5, Тростянець, 73338;022 172 15 06;volodymyrashvedchenko@example.org
Даниленко;Євген;Юхимович;Чоловіча;1969-02-02;Програміст;хутір Сколе;вулиця Амурська, буд. 6 кв. 7, Южне, 88152;+380 72 558-85-32;cherinkoborys@example.net
Саченко;Аліна;Еміліяівна;Жіноча;1966-12-04;Пілот;хутір Прилуки;проспект Дукова, буд. 061 кв. 0, Кіцмань, 47564;048-99-05;xarsenych@example.com
Удовенко;Єлисавета;Ліліяівна;Жіноча;1940-06-03;Астронавт;селище Чигирин;набережна Різовська, буд. 769 кв. 6, Тальне, 64846;+380 (20) 399-35-20;makarrudko@example.com
Демʼяненко;Амалія;Ерікаівна;Жіноча;1982-10-22;Вчитель;селище Рені;площа 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 7, Нова Одеса, 36702;703 78 84;zhaivoronsymon@example.net
Семенченко;Олег;Йосипович;Чоловіча;2001-06-06;Локсмайстер;село Інкерман;набережна Кустанайська, буд. 47, Дніпро , 39960;+380 (70) 263-84-58;varfolomii18@example.net
Сірко;Розалія;Алінаівна;Жіноча;1987-06-26;Бібліотекар;місто Вишгород;вулиця 11-та Лінія Марії Демченко, буд. 732 кв. 8, Боково-Хрустальне, 29241;+380 46 052-48-25;bohdannaartemenko@example.org
Василечко;Софія;Єваівна;Жіноча;1952-11-04;Агроном;селище Вільногірськ;провулок Лузанівський 2-й, буд. 94, Вашківці, 53502;784 20 76;vasylenkoles@example.org
